0 ['Run', 'Drop', 'SwitchOff', 'Unwrap', 'Climb', 'TurnTo', 'Pour', 'Find', 'PutBack', 'Walk']
1 ['Throw', 'Run', 'PutObjBack', 'Rinse', 'Drop', 'Grab', 'LookAt', 'PutIn', 'Find', 'PutBack']
2 ['Pull', 'TurnTo', 'SwitchOff', 'Walk', 'Wash', 'Wipe', 'Pour', 'Grab', 'Find', 'PutBack']
3 ['Squeeze', 'Play', 'Find', 'Touch', 'Pour', 'Close', 'Grab', 'Walk', 'LookAt', 'PutBack']
4 ['Write', 'PointAt', 'LookAt', 'Uncover', 'PutIn', 'Grab', 'Shake', 'Walk', 'Find', 'PutBack']
5 ['Close', 'PutIn', 'Rinse', 'Shake', 'Wash', 'Grab', 'Walk', 'LookAt', 'Find', 'PutBack']
6 ['Pour', 'Grab', 'PutIn', 'Rinse', 'PutOn', 'TurnTo', 'LookAt', 'Walk', 'PutBack', 'Find']
7 ['TurnTo', 'Pull', 'PointAt', 'Pour', 'Push', 'SwitchOn', 'Grab', 'PutObjBack', 'Find', 'PutBack']
8 ['Scrub', 'Shake', 'TurnTo', 'PutObjBack', 'PointAt', 'Close', 'SwitchOn', 'LookAt', 'Find', 'PutBack']
9 ['Lie', 'PutObjBack', 'Walk', 'SwitchOff', 'Uncover', 'LookAt', 'TurnTo', 'Grab', 'Find', 'PutBack']
10 ['TurnTo', 'PlugIn', 'Uncover', 'Wipe', 'Open', 'LookAt', 'Find', 'PutBack', 'Walk', 'Grab']
11 ['PutObjBack', 'Wipe', 'Rinse', 'Scrub', 'SwitchOff', 'TurnTo', 'Walk', 'Grab', 'Find', 'PutBack']
12 ['Open', 'Walk', 'Scrub', 'Wash', 'SwitchOn', 'Grab', 'PutObjBack', 'Find', 'TurnTo', 'PutBack']
13 ['Pour', 'Cover', 'TurnTo', 'Scrub', 'PutIn', 'Grab', 'Find', 'PutBack', 'Walk']
14 ['Push', 'Cover', 'PutObjBack', 'Wash', 'PointAt', 'Pour', 'Find', 'Walk', 'PutBack', 'Grab']
15 ['Climb', 'PutObjBack', 'Pull', 'SwitchOn', 'Scrub', 'LookAt', 'Find', 'Walk', 'PutIn', 'PutBack']
16 ['LookAt', 'Run', 'Wipe', 'PointAt', 'Drop', 'PutBack', 'Pour', 'Grab', 'Walk', 'Find']
17 ['Crawl', 'PointAt', 'Close', 'Squeeze', 'Wash', 'Walk', 'Pour', 'TurnTo', 'Find', 'PutBack']
18 ['Shake', 'PointAt', 'Touch', 'Fold', 'Find', 'TurnTo', 'Grab', 'Walk', 'PutObjBack', 'PutBack']
19 ['Unwrap', 'PutIn', 'Cover', 'Find', 'Pull', 'Grab', 'PutObjBack', 'Run', 'TurnTo', 'PutBack']
20 ['Pour', 'Wash', 'Close', 'LookAt', 'Walk', 'PutObjBack', 'Find', 'TurnTo', 'Grab', 'PutBack']
21 ['SwitchOff', 'Rinse', 'Read', 'Open', 'LookAt', 'PutObjBack', 'TurnTo', 'Grab', 'PutBack', 'Find']
22 ['Open', 'PointAt', 'Grab', 'Drop', 'Rinse', 'Walk', 'LookAt', 'PutObjBack', 'Find', 'PutBack']
23 ['Uncover', 'Find', 'PutIn', 'Wash', 'PutObjBack', 'Grab', 'LookAt', 'Walk', 'Pour', 'PutBack']
24 ['Crawl', 'TurnTo', 'Touch', 'Grab', 'Pull', 'Open', 'Walk', 'Find', 'PutBack', 'LookAt']
25 ['TurnTo', 'Wipe', 'Walk', 'Shake', 'PutIn', 'Cut', 'LookAt', 'Grab', 'Spread', 'Find']
26 ['SwitchOff', 'PointAt', 'Squeeze', 'Wipe', 'Wash', 'PutObjBack', 'Walk', 'TurnTo', 'Find', 'PutBack']
27 ['PutIn', 'Spread', 'TurnTo', 'Wipe', 'Pour', 'Walk', 'Grab', 'Find', 'LookAt', 'PutBack']
28 ['Uncover', 'Push', 'Play', 'Sit', 'Open', 'Pour', 'Find', 'Walk', 'PutObjBack', 'PutBack']
29 ['Walk', 'PutObjBack', 'Scrub', 'Wash', 'Squeeze', 'PointAt', 'TurnTo', 'Find', 'Grab', 'PutBack']
30 ['Touch', 'Pour', 'Sit', 'Stir', 'TurnTo', 'LookAt', 'Find', 'Push', 'Walk', 'PutBack']
31 ['Wash', 'Pour', 'Grab', 'Walk', 'LookAt', 'Drop', 'Rinse', 'TurnTo', 'Find', 'PutBack']
32 ['Push', 'LookAt', 'Pour', 'PutIn', 'Grab', 'TurnTo', 'Walk', 'Fold', 'Find', 'Spread']
33 ['Scrub', 'Unfold', 'Read', 'Cover', 'Drop', 'PutIn', 'LookAt', 'Find', 'TurnTo', 'PutBack']
34 ['Read', 'Spit', 'LookAt', 'Pull', 'Pour', 'Wash', 'Walk', 'Find', 'Grab', 'PutBack']
35 ['Grab', 'Walk', 'Wipe', 'PutObjBack', 'PutBack', 'Touch', 'Pour', 'Rinse', 'PutIn', 'Find']
36 ['Wash', 'Fold', 'Wrap', 'Dance', 'TurnTo', 'Grab', 'PlugIn', 'PutBack', 'Walk', 'Find']
